era,arm,chunk,raw,compressed,ctx_bytes
2025-01-06_median,prefix-2MiB+dict-fresh,10,1048576,162026,2162688
2025-01-06_median,prefix-2MiB+dict-fresh,11,1048576,157821,2162688
2025-01-06_median,prefix-2MiB+dict-fresh,12,1048576,173336,2162688
2025-01-06_median,prefix-2MiB+dict-fresh,13,1048576,201026,2162688
2025-01-06_median,prefix-1MiB+dict-fresh,0,1048576,232629,65536
2025-01-06_median,prefix-1MiB+dict-fresh,1,1048576,200378,1114112
2025-01-06_median,prefix-1MiB+dict-fresh,2,1048576,201185,1114112
2025-01-06_median,prefix-1MiB+dict-fresh,3,1048576,201170,1114112
2025-01-06_median,prefix-1MiB+dict-fresh,4,1048576,205089,1114112
2025-01-06_median,prefix-1MiB+dict-fresh,5,1048576,204713,1114112
2025-01-06_median,prefix-1MiB+dict-fresh,6,1048576,215988,1114112
2025-01-06_median,prefix-1MiB+dict-fresh,7,1048576,195305,1114112
2025-01-06_median,prefix-1MiB+dict-fresh,8,1048576,195714,1114112
2025-01-06_median,prefix-1MiB+dict-fresh,9,1048576,182732,1114112
2025-01-06_median,prefix-1MiB+dict-fresh,10,1048576,165631,1114112
2025-01-06_median,prefix-1MiB+dict-fresh,11,1048576,161389,1114112
2025-01-06_median,prefix-1MiB+dict-fresh,12,1048576,177106,1114112
2025-01-06_median,prefix-1MiB+dict-fresh,13,1048576,204425,1114112
2025-01-06_median,prefix-512KiB+dict-fresh,0,1048576,232629,65536
2025-01-06_median,prefix-512KiB+dict-fresh,1,1048576,205117,589824
2025-01-06_median,prefix-512KiB+dict-fresh,2,1048576,204705,589824
2025-01-06_median,prefix-512KiB+dict-fresh,3,1048576,205767,589824
2025-01-06_median,prefix-512KiB+dict-fresh,4,1048576,208769,589824
2025-01-06_median,prefix-512KiB+dict-fresh,5,1048576,208614,589824
2025-01-06_median,prefix-512KiB+dict-fresh,6,1048576,220406,589824
2025-01-06_median,prefix-512KiB+dict-fresh,7,1048576,199912,589824
2025-01-06_median,prefix-512KiB+dict-fresh,8,1048576,199778,589824
2025-01-06_median,prefix-512KiB+dict-fresh,9,1048576,186543,589824
2025-01-06_median,prefix-512KiB+dict-fresh,10,1048576,169568,589824
2025-01-06_median,prefix-512KiB+dict-fresh,11,1048576,165029,589824
2025-01-06_median,prefix-512KiB+dict-fresh,12,1048576,180378,589824
2025-01-06_median,prefix-512KiB+dict-fresh,13,1048576,208011,589824
2025-01-06_median,prefix-2MiB+dict-2025,0,1048576,234791,65536
2025-01-06_median,prefix-2MiB+dict-2025,1,1048576,200354,1114112
2025-01-06_median,prefix-2MiB+dict-2025,2,1048576,198169,2162688
2025-01-06_median,prefix-2MiB+dict-2025,3,1048576,198099,2162688
2025-01-06_median,prefix-2MiB+dict-2025,4,1048576,202544,2162688
2025-01-06_median,prefix-2MiB+dict-2025,5,1048576,201188,2162688
2025-01-06_median,prefix-2MiB+dict-2025,6,1048576,213194,2162688
2025-01-06_median,prefix-2MiB+dict-2025,7,1048576,191588,2162688
2025-01-06_median,prefix-2MiB+dict-2025,8,1048576,192439,2162688
2025-01-06_median,prefix-2MiB+dict-2025,9,1048576,178182,2162688
2025-01-06_median,prefix-2MiB+dict-2025,10,1048576,163655,2162688
2025-01-06_median,prefix-2MiB+dict-2025,11,1048576,157659,2162688
2025-01-06_median,prefix-2MiB+dict-2025,12,1048576,173753,2162688
2025-01-06_median,prefix-2MiB+dict-2025,13,1048576,200185,2162688
2025-01-06_median,prefix-1MiB+dict-2025,0,1048576,234791,65536
2025-01-06_median,prefix-1MiB+dict-2025,1,1048576,200354,1114112
2025-01-06_median,prefix-1MiB+dict-2025,2,1048576,201937,1114112
2025-01-06_median,prefix-1MiB+dict-2025,3,1048576,201639,1114112
2025-01-06_median,prefix-1MiB+dict-2025,4,1048576,205755,1114112
2025-01-06_median,prefix-1MiB+dict-2025,5,1048576,204444,1114112
2025-01-06_median,prefix-1MiB+dict-2025,6,1048576,216081,1114112
2025-01-06_median,prefix-1MiB+dict-2025,7,1048576,195062,1114112
2025-01-06_median,prefix-1MiB+dict-2025,8,1048576,195934,1114112
2025-01-06_median,prefix-1MiB+dict-2025,9,1048576,183522,1114112
2025-01-06_median,prefix-1MiB+dict-2025,10,1048576,166958,1114112
2025-01-06_median,prefix-1MiB+dict-2025,11,1048576,160517,1114112
2025-01-06_median,prefix-1MiB+dict-2025,12,1048576,177257,1114112
2025-01-06_median,prefix-1MiB+dict-2025,13,1048576,203350,1114112
2025-01-06_median,prefix-512KiB+dict-2025,0,1048576,234791,65536
2025-01-06_median,prefix-512KiB+dict-2025,1,1048576,205006,589824
2025-01-06_median,prefix-512KiB+dict-2025,2,1048576,205087,589824
2025-01-06_median,prefix-512KiB+dict-2025,3,1048576,207338,589824
2025-01-06_median,prefix-512KiB+dict-2025,4,1048576,208943,589824
2025-01-06_median,prefix-512KiB+dict-2025,5,1048576,208066,589824
2025-01-06_median,prefix-512KiB+dict-2025,6,1048576,220019,589824
2025-01-06_median,prefix-512KiB+dict-2025,7,1048576,201001,589824
2025-01-06_median,prefix-512KiB+dict-2025,8,1048576,199680,589824
2025-01-06_median,prefix-512KiB+dict-2025,9,1048576,186901,589824
2025-01-06_median,prefix-512KiB+dict-2025,10,1048576,170996,589824
2025-01-06_median,prefix-512KiB+dict-2025,11,1048576,163971,589824
2025-01-06_median,prefix-512KiB+dict-2025,12,1048576,180105,589824
2025-01-06_median,prefix-512KiB+dict-2025,13,1048576,206705,589824
2025-09-25_busy,none,0,1048576,135753,0
2025-09-25_busy,none,1,1048576,154276,0
2025-09-25_busy,none,2,1048576,173938,0
2025-09-25_busy,none,3,1048576,145598,0
2025-09-25_busy,none,4,1048576,141702,0
2025-09-25_busy,none,5,1048576,148107,0
2025-09-25_busy,none,6,1048576,149659,0
2025-09-25_busy,none,7,1048576,143805,0
2025-09-25_busy,none,8,1048576,152443,0
2025-09-25_busy,none,9,1048576,155329,0
2025-09-25_busy,none,10,1048576,144157,0
2025-09-25_busy,none,11,1048576,157525,0
2025-09-25_busy,none,12,1048576,165447,0
2025-09-25_busy,none,13,1048576,161216,0
